212,"Tidak diragukan lagi,doss selalu amanah🤩 rekomended buat semuanya klo mau nyari kamera,sellernya ramah buanget dan expedisinya juga best,komplit dah pokoknya👌"
213,Packing nya aman dan rapih
214,"DOSS TOP!!!,Beberapa kali belanja,Pelayanan Bagus Banget, Barang Berkualitas ."
215,Good product as always 👌 Pengiriman juga cepat 👌
216,"sambil di charge dulu, da ciba nyala juga lumayan lah. untuk harganya bagus. packing kiriman aman, dr Doss gak di ragukan lagi"
217,"Barang sesuai dan memuaskan, semoga awet. Trims buat penjual dan kuris. Sukses selalu."
218,bagussss
219,pelayanan jooosss mantappp
220,"seller ramah, fast respon, barang sesuai deskripsi, Top lah"
221,"mantap, barang bagusss"
222,pengiriman cepat dan packing amat aman. pakai pengiriman biasa di Jakarta langsung di terima hari esoknya.
223,"mantapp, barang berfungsi dengan baik, sudah dipake buat ambil foto dan video berulang kali tidak ada kendala"
224,"Pesanan tiba dengan selamat dan aman, terima kasih seller"
225,Mantap maksimal
226,Mantep
227,Nice one
228,oke
229,"1. Kualitas Billingham tidak diragukan lagi. Merk legendaris dunia dari UK utk tas kamera. 2. Tas Hadley Digital cukup ringkas, trendy, keren dan bisa memuat kamera mirrorless"
230,"Unit berkualitas, sesuai deskripsi, pelayanan baik"
231,"Mantap, sesuai, berfungsi baik.Hanya kalo alas tanpa Karpet keluar alira listrik d body lampu ya, jd harus Hati2. Packing extra tebal.aman."
232,"packing bagus, barang original.. autofokus lancar, foto bokeh2an cakep"
233,"cepet banget sampenya! baru dipesen kemaren hariini uda sampe.. respon penjual juga cepet banget, sengaja beli yang hitam biar matching sm warna hp.."
234,thumbs up smile
235,Selalu ga mengecewakan kalo belanja di DOSS
236,"terima kasih, respon dan proses pengiriman cepat"
237,"Pengiriman dan respon cepet.. sangat membantu,,"
238,Nilai Positif: Efektif untuk membersihkan berbagai macam kotoran yang bisa dipindahkan dengan tekanan udara. Nozzle besar sangat efektif untuk meningkatkan efisiensi...
239,"packing aman, mantap pokoknya. Bonusnya juga oke"
240,Langsung dipush kerja. Mantap lah
241,"Barang sesuai, Mantap2."
242,"gelembung hilang sendiri, plus mudah buat yang pasang sendiri di rumah."
243,Packingnya rapi dan barangnya mantap. Jgn ragu beli di doss kawan
244,recommended seller
245,"Keren produknya, case dan charger battery jadi satu, jadi ga perlu bawa charger terpisah lagi, apalagi ini bisa charge 3 battery sekaligus, semoga awet"
246,"packing aman, double dus dan bubble wrap. paket nya juga original, sudah include micro sd dengan harga bessst! ga salah beli di dos!"
247,"alhamdulillah sudah sampai,nanti malam gas,makasih"
248,lensa packingnya aman..lengkap
249,Bagus barang nya cepat
250,"barang komplit, packing rapih sekali....."
251,"bagus bikinan luar dalam nya, process kiriman super cepet"
252,Kualitas Barang biasa aja
253,Makasih doss tuker tambah langsung sama zeiss 24-70. Awalny beli lensa g-lens macro ternyata kurang cocok
254,"mantap belanja di doss , langsung ambl ditoko"
255,Packing bubblewrap. Proses pengiriman cepet banget gile. Siang jam 3 pesen jam 5 kurang udah sampe. Barang original berfungsi dengan baik. Cakep bet deh 👍🏻
256,Barangnya berkualitas
257,Doss selalu memberikan barang yang berkuakutas
258,thumbs up
259,Bagus. Bisa dipake. Semoga awet
260,Hoki dapat juga barang yang di incar. bagus Dan looks premium.
261,Penjual sangat komunikatif. Top!
262,"Packing aman dan terbungkus rapi, barang sesuai ekspektasi 👍"
263,sesuai deskripsi proses pengiriman cepat packing aman ber PPN
264,"Kualitas bagus, seller ramah, ada garansi juga."
265,Bagus. Packing aman. Seller ramah
266,"Mantabs, tinggal lepas pasang, cocok buat selang seling antara mau bikin rig professional atau casual"
267,love doss 😍😍😍
268,"barang oke. sesuai dan hasil oke, besok langsung perang dengan camera 24-70"
269,"sesuai deskripsi, barang baik, pengiriman cepat.semoga awet"
270,"Mantapppp, barang original, packing aman, plus diskon pula, keren deh doss!"
271,Barang berfungsi dengan baik. Seller juga cepat respon nya 👍🏻
272,"Pelayanan cepat dan responsif, Barang datang tepat waktu, sukses selalu!"
273,Kenceng!
274,Respon Admin nya Gercep Banget... terbaik deh Doss ... Thank you Doss
275,"Thanks Banget dikasih Bonus, dibantu dikasih promo dan admjn responsif banget! Thankyouu emang Best Doss"
276,"Barang sudah di terima dan sesuai dengan deskripsi di etalase. Proses pemesanan sampai pengiriman cepat. Highly recommended seller, keep up the good work !!"
277,kamera canggih dan keren . semoga awet
278,lensa canggih dan keren.
279,recomended seller...packingan amanbanyak discount ya
280,Fast delivery..everything fine…
281,"Proses gak ribet, Customer Service fast response, flexible mau diantar atau ambil di store, barang dijamin original dan terpercaya. Recommended seller dan product!"
282,barang dah sampai belum di coba semoga normal awet
283,Recommend seller
284,packing nya aman dan rapi. dapat discon pula. sukses doss
285,seller recommended. produk bagus banget. pembelian ke dua kali. dan bintang bicara
286,seller recommended. produk bagus banget. pembelian ke dua kali. dan bintang bicara
287,"toko kamera langganan, soal kualitas pokonya mantap joss garansi reami."
288,bagussss
289,Bagus
290,Bagus
291,Baguss
292,"berfungsi dengan baik, seller responsif, cepet banget dikirim."
293,"terima kasih, barang sudah sampai.. sukses selalu"
294,mantabbb
295,"barang sesuai, seller very helpful👍🏻"
296,barangnya sudah diterima dengan baik.. sesuai deskripsi.. pengirimannya juga cepat.
297,pelayanan bagus saya suka😍
298,best
299,Cepet banget pemesanannya. Dibantu dengan baik banget
300,Sesuai dan packingan mantap
301,"top markotop doss,packing double bubke wrapp,pengiriman juga ceper gk sampe 24 jam smpe.. pdhal beda provinsi.. barang mantapp tapi blm di coba sih"
302,Cool
303,Mantap
304,"packingnya aman dan rapi,sesuai dengan ekspektasi"
305,pelayanan bagus
306,"packingnya rapi, barang tiba dengan kondisi baik serta ukuran sesuai dengan deskripsi 💥⚡"
307,"Produk original berkualitas premium, fungsi lengkap dan maximal, packaging safety, recommended seller 👍🏻👍🏻"
308,bagus
309,alhmdlh brangnya bagus
310,"matul pelayanannya, kualitas oke, adminnya ngebantu sekali bahkan sampe diajarin cara pengirimsnnya agar aman"
311,bagus berfungsi sangat baik
312,bagus berfungsi sangat baik
313,bagus berfungsi sangat baik
314,Mantappppppp terbaekk. Sat set pengiriman cepat
315,Thank you doss terbaikdapat voucher diskon waktu ulang tahun doss.
316,"joss gandos, terbaik pokok nya mau kirim kirim okeeee bnget dah"
317,gak nyesel dehh pokoknyaaa mau kirim kemana mama juga pas aman
318,Terima kasih banyak Doss 😍Pelayanan terbaik
319,Excellent
320,"Mantap, respon CS sangat ramahBarang sangat bagus"
321,mantap
322,bagus
323,jos banget
324,udah langganan jd gak usah diragukan lagi
325,"bagus, cepat, mantap, packing super aman"
326,mantap dan sesuai
327,"Produk Sesuai Gambar dan Deskripsi. Berfungsi Dengan Baik, Doss Selalu Fast Respon dan Full Support. Terima Kasih."
328,"barang sampai dengan baik, terima kasih doss"
329,Belum dicoba percaya selalu sama doss mah
330,Selalu memuaskan
331,"barang bagus, harga okee"
332,puas banget
333,"bagus banget, udah ada spring nya, kualitas bahan oke, mungkin rada tipis dari yang saya punya, tapi sesuai dengan harga, ini pembelian kedua karena butuh 2"
334,"bagus banget, udah ada spring nya, kualitas bahan oke, mungkin rada tipis dari yang saya punya, tapi sesuai dengan harga"
335,"Keren lens hoodnya, cuma lupa beli adapter ring."
336,Barangny kereenn.. Kualitas baguss.. Topp
337,"Sekelas doss packagingnya bisa begini. Bubble wrap tipis, untung barangnya gak kenapa2. Tolong lebih dipikirkan packaging di barang yang harganya belasan juta"
338,"recommend seller, dilayani dengan baik dan sabarr"
339,good conditionskemasan baik banget ada bublewrap dan dus external
340,Oke
341,"Bagus,Barang Ori,Staffnya Ramah"
342,"Barang berfungsi dengan baik. Packing rapi, berlapis2 dan aman. Sayang pengirimannya tidak gercep. Pakai kurir instan tapi baru dikirim besoknya. Harusnya order instan/sa... "
343,"mantap sesuai keterangan penjual. Pengiriman agak lambat, dari pihak kurir. Barang diterima dengan baik dan kemasan rapih dan aman"
344,the best
345,Tempat terbaik untuk membeli camera
346,"Packingnya aman dan selamat sampai tujuan, keren banget kameranya terimakasih untuk doss dikasih bonus"
347,"Noise level (hissing) terdengar jelas saat on, padahal dalam kondisi level 0 sound"
348,"tidak pernah kecewa belanja dsini, pengiriman cepet, packaging aman, seller responsif"
349,Doss memberikan pengalaman berbelanja yang sangat baik untuk pembelian kamera A7CII. Harga kompetitif dan deskripsi produk akurat. Pengiriman cepat dan kemasan aman. Laya...
350,"kwalitas bagus,pelayanan ramah,pokoknya happy aniv doss sukses terus kedepannya,"
351,"Barang in high quality, servicenya sangat bagus dan cepat."
352,Semoga awet
353,Pengganti yang hilang..dicoba aman..joss..
354,Lengkap sudah ad200pro nya..joss..joss...
355,respon cepat.. pengiriman cepat.. packing baik.. sesuai pesanan.. terimakasih
356,"barang sampai dengan selamat, meski sempat delay po tapi toko sangat responsif👍"
357,cepat 👍🏾
358,"pelayanan sangat ramah dan cepat, produk juga sangat sesuai dengan deskripsi"
359,makasih sudah diterima
360,makasih sudah diterima
361,makasih sudah diterima
362,makasih sudah diterima
363,"Muraaah, turun harga dan dapet diskon tokped. Dapet bonus case dan kabel hdmi juga. mantap"
364,"Pelayanan ramah dan cepat, sesuai pesanan, packing aman …reksel doss 👍👍"
365,"mantapp barangnya sdh diterima ,masih segel...salah satu toko favorit !..sukses selalu Doss"
366,Barang sudah sampai dan berfungsi dengan baik. Kualitas barang so2 lah ya sesuai budget.Sedikit kendala di item barang yang free nya belum terkirim. Tapi seller dengan sigapnya...
