index,reviews
241,"Nilai Positif: Efektif untuk membersihkan berbagai macam kotoran yang bisa dipindahkan dengan tekanan udara. Nozzle besar sangat efektif untuk meningkatkan efisiensi... "
242,"packing aman, mantap pokoknya. Bonusnya juga oke"
243,Langsung dipush kerja. Mantap lah
244,"Barang sesuai, Mantap2."
245,"gelembung hilang sendiri, plus mudah buat yang pasang sendiri di rumah."
246,Packingnya rapi dan barangnya mantap. Jgn ragu beli di doss kawan
247,recommended seller
248,"Keren produknya, case dan charger battery jadi satu, jadi ga perlu bawa charger terpisah lagi, apalagi ini bisa charge 3 battery sekaligus, semoga awet"
249,"packing aman, double dus dan bubble wrap. paket nya jg original, sudah include micro sd dengan harga bessst! ga salah beli di dos!"
250,"alhamdulillah sudah sampai,nanti malam gas,makasih"
251,lensa packingnya aman..lengkap
252,Bagus barang nya cepat
253,"barang komplit, packing rapih sekali....."
254,"bagus bikinan luar dalam nya, process kiriman super cepet"
255,Kualitas Barang biasa aja
256,"Makasih doss tuker tambah langsung sama zeiss 24-70. Awalny beli lensa g-lens macro ternyata kurang cocok"
257,"mantap belanja di doss , langsung ambl ditoko"
258,Packing bubblewrap. Proses pengiriman cepet banget gile. Siang jam 3 pesen jam 5 kurang udah sampe. Barang original berfungsi dengan baik. Cakep bet deh 👍🏻
259,Barangnya berkualitas
260,Doss selalu memberikan barang yang berkuakutas
261,"thumbs up"
262,Bagus. Bisa dipake. Semoga awet
263,Hoki dpt jg barang yang di incar. bagus Dan looks premium.
264,Penjual sangat komunikatif. Top!
265,"Packing aman dan terbungkus rapi, barang sesuai ekspektasi 👍"
266,"sesuai deskripsi proses pengiriman cepat packing aman ber PPN"
267,"Kualitas bagus, seller ramah, ada garansi juga."
268,Bagus. Packing aman. Seller ramah
269,"Mantabs, tinggal lepas pasang, cocok buat selang seling antara mau bikin rig professional atau casual"
270,love doss 😍😍😍
271,"barang oke. sesuai dan hasil oke, besok langsung perang dengan camera 24-70"
272,"sesuai deskripsi, barang baik, pengiriman cepat.
semoga awet"
273,"Mantapppp, barang original, packing aman, plus diskon pula, keren deh doss!"
274,Barang berfungsi dengan baik. Seller juga cepat respon nya 👍🏻
275,"Pelayanan cepat dan responsif, Barang datang tepat waktu, sukses selalu!"
276,Kenceng!
277,Respon Admin nya Gercep Banget... terbaik deh Doss ... Thank you Doss
278,"Thanks Banget dikasih Bonus, dibantu dikasih promo dan admjn responsif banget! Thankyouu emang Best Doss"
279,"Barang sudah di terima dan sesuai dengan deskripsi di etalase. Proses pemesanan sampai pengiriman cepat. Highly recommended seller, keep up the good work !!"
280,kamera canggih dan keren . semoga awet
281,lensa canggih dan keren.
282,"recomended seller...packingan aman
banyak discount ya"
283,Fast delivery..everything fine…
284,"Proses gak ribet, Customer Service fast response, flexible mau diantar atau ambil di store, barang dijamin original dan terpercaya. Recommended seller dan product!"
285,barang dah sampai belum di coba semoga normal awet
286,Recommend seller
287,packing nya aman dan rapi. dpt discon pula. sukses doss
288,seller recommended. produk bagus bgt. pembelian ke dua kali. dan bintang bicara
289,seller recommended. produk bagus bgt. pembelian ke dua kali. dan bintang bicara
290,"toko kamera langganan, soal kualitas pokonya mantap joss garansi reami."
291,bagussss
292,Bagus
293,Bagus
294,Baguss
295,"berfungsi dengan baik, seller responsif, cepet banget dikirim."
296,"terima kasih, barang sudah sampai.. sukses selalu"
297,mantabbb
298,"barang sesuai, seller very helpful👍🏻"
299,barangnya sudah diterima dengan baik.. sesuai deskripsi.. pengirimannya juga cepat.
300,pelayanan bagus saya suka😍
301,best
302,Cepet banget pemesanannya. Dibantu dengan baik banget
303,Sesuai dan packingan mantap
304,"top markotop doss,packing double bubke wrapp,pengiriman juga ceper gk sampe 24 jam smpe.. pdhal beda provinsi.. barang mantapp tapi blm di coba sih"
305,Cool
306,Mantap
307,"packingnya aman dan rapi,sesuai dengan ekspektasi"
308,pelayanan bagus
309,"packingnya rapi, barang tiba dengan kondisi baik serta ukuran sesuai dengan deskripsi 💥⚡"
310,"Produk original berkualitas premium, fungsi lengkap dan maximal, packaging safety, recommended seller 👍🏻👍🏻"
311,bagus
312,alhmdlh brangnya bagus
313,"matul pelayanannya, kualitas oke, adminnya ngebantu sekali bahkan sampe diajarin cara pengirimsnnya agar aman"
314,bagus berfungsi sangat baik
315,bagus berfungsi sangat baik
316,bagus berfungsi sangat baik
317,Mantappppppp terbaekk. Sat set pengiriman cepat
318,"Thank you doss terbaik
dapat voucher diskon waktu ulang tahun doss."
319,"joss gandos, terbaik pokok nya mau kirim kirim okeeee bnget dah"
320,gak nyesel dehh pokoknyaaa mau kirim kemana mama juga pas aman
321,"Terima kasih banyak Doss 😍
Pelayanan terbaik"
322,Excellent
323,"Mantap, respon CS sangat ramah
Barang sangat bagus"
324,mantap
